2448172.3	12.2	0.03
2448183.1	12.4	0.03
2448189.2	12.6	0.03
2448195.5	12.5	0.03
2448202.4	12.7	0.03
2448204.7	12.2	0.03
2448208.4	12.2	0.03
2448209.4	12.3	0.03
2448210.7	12.7	0.03
2448213.2	12.3	0.03
2448215.3	12.4	0.03
2448216.0	12.5	0.03
2448218.3	12.3	0.03
2448218.8	12.4	0.03
2448219.5	12.4	0.03
2448225.8	12.6	0.03
2448226.1	12.6	0.03
2448491.5	12.5	0.03
2448495.4	12.2	0.03
2448495.7	12.2	0.03
2448497.3	12.4	0.03
2448498.3	12.4	0.03
2448500.9	12.6	0.03
2448504.2	12.3	0.03
2448504.4	12.6	0.03
2448504.5	12.3	0.03
2448505.1	12.3	0.03
2448506.3	12.7	0.03
2448506.6	12.8	0.03
2448510.5	12.4	0.03
2448511.5	12.8	0.03
2448515.9	12.5	0.03
2448529.6	12.4	0.03
2448537.9	12.7	0.03
2448538.2	12.4	0.03
2448538.8	12.7	0.03
2448539.4	12.5	0.03
2448539.9	12.2	0.03
2448544.2	12.2	0.03
2448545.0	12.6	0.03
2448554.3	12.7	0.03
2448555.7	12.2	0.03
2448556.2	12.5	0.03
2448557.6	12.6	0.03
2448558.1	12.4	0.03
2448565.2	12.3	0.03
2448566.7	12.7	0.03
2448830.6	12.2	0.03
2448835.4	12.3	0.03
2448836.4	12.3	0.03
2448838.1	12.5	0.03
2448839.8	12.3	0.03
2448842.9	12.5	0.03
2448843.5	12.6	0.03
2448849.5	12.4	0.03
2448851.3	12.2	0.03
2448852.0	12.6	0.03
2448852.2	12.6	0.03
2448857.5	12.7	0.03
2448858.1	12.4	0.03
2448860.8	12.4	0.03
2448863.4	12.5	0.03
2448865.3	12.4	0.03
2448867.3	12.2	0.03
2448869.2	12.7	0.03
2448871.9	12.3	0.03
2448879.3	12.5	0.03
2448880.4	12.3	0.03
2448880.6	12.3	0.03
2448883.1	12.5	0.03
2448883.7	12.3	0.03
2448885.0	12.6	0.03
2448885.9	12.4	0.03
2448888.0	12.6	0.03
